cluster,framing (verbatim hook),advertiser,longest_run_days,total_span_days,relaunch,variants,countries,eu_reach,price,LP type,lp_h1,domain
C1,Attention Parents Going Through Divorce❗️,Family Court Guide,123,123,False,1,GB,,,,,fb.me
C1,Overthinking is at the root of most of our mental distress.,Metacognitive Therapy,120,120,False,1,AUGBUS,,$1,application_form,Instagram,instagram.com
C1,"Most homeowners think a bathroom renovation means months of mess, tradesmen constantly in the house, and costs spiralling out of control 🚿❌",Rugby Tile & Bathroom,106,106,False,1,GB,,,,,
C1,"Most people pour everything into the build, then realise the garden was never budgeted properly.",Andy Stedman Design LTD,104,104,False,1,GB,,,,,fb.me
C1,If you’re considering a home extension but worried about:,Truestone Construction Ltd,91,91,False,1,GB,,,,,fb.me
C1,I refused Metformin for 3 years. Here's what happened to my blood sugar.,Cholesterol Relief Community,81,81,False,2,DEDKNL,83745,gated,optin,DEAL ENDING IN:,shop.pipitea.com
C1,"When your child's anxiety makes bedtime feel impossible, it's exhausting for everyone.",Nesti,71,71,False,1,DEDKNL,1384,$56.50,direct_checkout,,nestishop.com
C1,Okay so this is going to sound dramatic but I genuinely almost had a panic attack. 😰,By Bella,70,70,False,1,AUGBUS,,$50,direct_checkout,Bella Shapewear,bellashapewear.com
C1,"10,000 people. One speech. TOMORROW. Here's exactly what I'd tell a client to do.",Peak Performance Hypnosis,65,65,False,2,DEDKNL,20615,gated,vsl,"Central & Columbus Ohio Hypnosis, Online Sessions Too",peakperformancehypnosis.com
C1,Don't waste your money on grounding sheets until you hear what happened to me three weeks after I gave birth. I was the last person who thought something like this would help.,The Honest Mama,65,65,False,2,DEDKNL,16106,$39,direct_checkout,Heal your Body with  Nature's Electrons,groundingwell.com
C1,5 Early Warning Signs Your Bladder Leaks Are About to Get Worse (That Most GPs Miss),The Daily Wellness,49,49,False,1,GB,,£36.45,direct_checkout,,serraphea.com
C1,"At 40, Hannah from Leeds had finally stopped calling herself lazy.",Clear Minds Hypnotherapy,47,47,False,1,GB,,gated,direct_checkout,,clearminds.com
C1,She hadn't heard from him in 3 months...,Amara - The Turkish Oracle,46,46,False,1,DE,1458,$11.11,direct_checkout,Coffee Cup Oracle,thecoffeecuporacle.com
C1,Xero prices rising?,AccountsIQ,46,46,False,1,GB,1847,€275 per mo,vsl,Cloud Accounting Trusted by Mid-Market Finance Teams,accountsiq.com
C2,That’s what happens when you pour from an empty cup.,First Gadget - Educational game for kids,191,191,False,1,GBUS,,$1,application_form,Instagram,instagram.com
C2,Can’t switch off at night?,SoundScan,182,182,False,1,AUDEDKGBNLUS,59618,$10 per mo,application_form,Music Promotion Services That Actually Work,hypeddit.com
C2,"If you're a leader holding everything together for everyone else, but inside it feels like you're right on the edge of everything falling apart... like one wrong decision could destroy the whole trust in your team,",karl_williams_leadership_coach,160,160,False,1,GBUS,,$1,application_form,Instagram,instagram.com
C2,You work hard to keep it together. And most days you do - but it costs something.,Kara Kuipers,159,159,False,1,AUNLUS,1830,$50,direct_checkout,"Nearly 400,000 5-star reviews",zox.co
C2,"If you're a professional who can't switch off from work, even at weekends and even on holiday, then come and follow @mindstarhypnotherapy",Mindstar Hypnotherapy,151,151,False,1,GB,,$1,application_form,Instagram,instagram.com
C2,I used to be the one who initiated.,Nina Weber,145,145,False,1,AUUS,1543,gated,direct_checkout,"my NUMY
 – mynumy.com",mynumy.com
C2,Tired…but can’t switch off?,Sleep Oracles,124,124,False,2,GB,,gated,application_form,"SleepOracles | Natural Sleep Supplements for Deep, Restful Sleep",sleeporacles.com
C2,"It’s always there in the background, even when you’re trying to focus, like your brain keeps drifting back to it no matter what you’re doing.",Always Greater,116,116,False,1,AUGBUS,,,,,learn.alwaysgreater.com
C2,Waarom belandt jouw belangrijkste project áltijd onderaan de to-do lijst?,Domus Focus,115,115,False,1,NL,456,gated,application_form,Stap in de focus-bubbel waar resultaat onvermijdelijk wordt,www.domusfocus.nl
C2,What if the reason you can't switch off has nothing to do with mindset — and everything to do with frequency?,The OneDevice,100,100,False,1,AUGB,,$0.00,direct_checkout,,theonedevice.com
C2,"You can't expect an overtired, wired kid to just fall asleep. Their busy brain physically can't switch off. 🦉",moonbird,99,99,False,1,DEGB,834,€179,direct_checkout,Breathwork works. Moonbird makes it work better.,moonbird.life
C2,"Fühlst du dich auch oft im Hamsterrad gefangen – Job, Familie, Alltag? Mit der Zeit wächst innerlich die Anspannung, der Kopf kommt nicht mehr zur Ruhe, und die Nerven liegen blank. Es fehlt dieser Ort, an dem man einfach loslassen darf.",Heilpraktikerin Heike Obermeier,99,99,False,2,DE,17729,$1,application_form,​,heilpraxis-heike-obermeier.de
C2,She won’t remember my inbox.,The Strategic Father,92,92,False,1,AUUS,,$27,unknown,Overwhelmed? Exhausted? There's a System For That.,strategicfather.com
C2,I didn’t create this because I’m naturally organized.,Katie Day Coach & Speaker,91,91,False,2,AUUS,15,,,,ohkatieday.com
C2,"You don't need a ""new you."" You need one small thing that makes your day lighter. This is it. ✨",North Time,89,89,False,1,AUDEUS,178,$3.95,direct_checkout,,thenorthtime.com
C2,"I stopped taking productivity advice from non caregivers years ago, and I want to tell you why.",Megan Sumrell,88,88,False,1,AUUS,,gated,vsl,NEVER  ENDS...,www.thepinkbee.com
C2,POV: you’ve had a long day…,St Palo,85,85,False,1,GB,,gated,application_form,St Palo,www.stpalo.com
C2,"Er macht beruflich weiter wie bisher. Du jonglierst den Wiedereinstieg, die Kita-Eingewöhnung",Lara Weiss,81,81,False,1,DE,22213,,,,go.laraweiss-elterncoaching.de
C2,Restless nights? Can't switch off after screens?,Flowlife,79,79,False,1,DEDKGB,91,500 DKK,direct_checkout,Recovery & Performance Systems from Scandinavia | Flowlife,flowlife.com
